"","sub","item","cond","boundaryN","wordN","word","trial_type"
"451",1,114,"ben",9,15,"ona","exp_2"
"452",1,114,"ben",9,16,"zarar","exp_2"
"453",1,114,"ben",9,17,"verecekti.","exp_2"
"454",1,137,"identical",7,1,"Sizin","exp_2"
"455",1,137,"identical",7,2,"evin","exp_2"
"456",1,137,"identical",7,3,"?n?nden","exp_2"
"457",1,137,"identical",7,4,"ge?erken","exp_2"
"458",1,137,"identical",7,5,"k???k","exp_2"
"459",1,137,"identical",7,6,"bir","exp_2"
"460",1,137,"identical",7,7,"ku?","exp_2"
"461",1,137,"identical",7,8,"g?rd?m","exp_2"
"462",1,137,"identical",7,9,"ama","exp_2"
"463",1,137,"identical",7,10,"yakla??r","exp_2"
"464",1,137,"identical",7,11,"yakla?maz","exp_2"
"465",1,137,"identical",7,12,"ka?t?.","exp_2"
"466",1,121,"identical",9,1,"Pencereyi","exp_2"
"467",1,121,"identical",9,2,"a??k","exp_2"
"468",1,121,"identical",9,3,"b?rak?p","exp_2"
"469",1,121,"identical",9,4,"gitti?i","exp_2"
"470",1,121,"identical",9,5,"i?in","exp_2"
"471",1,121,"identical",9,6,"evin","exp_2"
"472",1,121,"identical",9,7,"her","exp_2"
"473",1,121,"identical",9,8,"yeri","exp_2"
"474",1,121,"identical",9,9,"toz","exp_2"
"475",1,121,"identical",9,10,"olmu?","exp_2"
"476",1,121,"identical",9,11,"ve","exp_2"
"477",1,121,"identical",9,12,"annesi","exp_2"
"478",1,121,"identical",9,13,"onu","exp_2"
"479",1,121,"identical",9,14,"?ok","exp_2"
"480",1,121,"identical",9,15,"azarlad?.","exp_2"
"481",1,124,"ben",5,1,"K?pekler","exp_2"
"482",1,124,"ben",5,2,"do?alar?","exp_2"
"483",1,124,"ben",5,3,"gere?i","exp_2"
"484",1,124,"ben",5,4,"sahibine","exp_2"
"485",1,124,"ben",5,5,"hep","exp_2"
"486",1,124,"ben",5,6,"sad?kt?r","exp_2"
"487",1,124,"ben",5,7,"bu","exp_2"
"488",1,124,"ben",5,8,"y?zden","exp_2"
"489",1,124,"ben",5,9,"bir","exp_2"
"490",1,124,"ben",5,10,"?ok","exp_2"
"491",1,124,"ben",5,11,"insan","exp_2"
"492",1,124,"ben",5,12,"k?pek","exp_2"
"493",1,124,"ben",5,13,"sahiplenmek","exp_2"
"494",1,124,"ben",5,14,"ister.","exp_2"
"495",1,96,"ben",9,1,"En","exp_2"
"496",1,96,"ben",9,2,"yak?n","exp_2"
"497",1,96,"ben",9,3,"arkada??m","exp_2"
"498",1,96,"ben",9,4,"bug?n","exp_2"
"499",1,96,"ben",9,5,"bizim","exp_2"
"500",1,96,"ben",9,6,"eve","exp_2"
"501",1,96,"ben",9,7,"gelece?i","exp_2"
"502",1,96,"ben",9,8,"i?in","exp_2"
"503",1,96,"ben",9,9,"?ok","exp_2"
"504",1,96,"ben",9,10,"sevin?li","exp_2"
"505",1,96,"ben",9,11,"ve","exp_2"
"506",1,96,"ben",9,12,"heyecanl?y?m.","exp_2"
"507",1,160,"ben",5,1,"Eve","exp_2"
"508",1,160,"ben",5,2,"gelmeden","exp_2"
"509",1,160,"ben",5,3,"?nce","exp_2"
"510",1,160,"ben",5,4,"son","exp_2"
"511",1,160,"ben",5,5,"kez","exp_2"
"512",1,160,"ben",5,6,"foto?raf","exp_2"
"513",1,160,"ben",5,7,"?ektik","exp_2"
"514",1,160,"ben",5,8,"ama","exp_2"
